iter	Passed	Remaining
0	62	62112
1	62	31356
2	63	21106
3	64	15940
4	64	12854
5	65	10786
6	65	9330
7	66	8217
8	66	7360
9	67	6675
10	68	6115
11	68	5642
12	68	5231
13	69	4885
14	69	4595
15	70	4329
16	70	4097
17	71	3895
18	71	3709
19	72	3540
20	72	3386
21	73	3249
22	73	3123
23	74	3015
24	74	2912
25	75	2814
26	75	2726
27	76	2640
28	76	2563
29	76	2488
30	77	2420
31	77	2355
32	78	2298
33	79	2251
34	87	2406
35	97	2613
36	98	2559
37	98	2503
38	99	2455
39	100	2401
40	100	2350
41	100	2301
42	101	2259
43	102	2220
44	102	2178
45	103	2142
46	103	2105
47	104	2070
48	104	2036
49	105	2002
50	105	1969
51	106	1944
52	107	1915
53	107	1884
54	108	1858
55	108	1831
56	109	1806
57	109	1782
58	110	1759
59	110	1734
60	111	1712
61	111	1689
62	112	1667
63	112	1646
64	113	1627
65	113	1607
66	114	1587
67	114	1569
68	115	1551
69	115	1534
70	115	1516
71	116	1499
72	116	1481
73	117	1466
74	117	1450
75	118	1434
76	118	1420
77	118	1405
78	119	1391
79	119	1377
80	120	1363
81	120	1350
82	120	1335
83	121	1322
84	121	1311
85	122	1299
86	122	1287
87	123	1276
88	123	1266
89	124	1254
90	124	1243
91	124	1232
92	125	1222
93	125	1212
94	126	1202
95	126	1193
96	127	1184
97	127	1174
98	128	1165
99	128	1156
100	129	1149
101	129	1140
102	129	1131
103	130	1123
104	130	1114
105	131	1106
106	131	1098
107	132	1090
108	132	1082
109	132	1074
110	133	1067
111	133	1060
112	134	1053
113	134	1046
114	135	1040
115	135	1034
116	136	1027
117	136	1022
118	137	1015
119	137	1009
120	138	1003
121	138	996
122	138	990
123	139	984
124	139	978
125	140	972
126	140	965
127	141	960
128	141	955
129	142	950
130	142	944
131	142	939
132	143	933
133	143	929
134	144	924
135	144	918
136	145	913
137	145	909
138	146	904
139	146	899
140	146	895
141	147	889
142	147	884
143	148	880
144	148	875
145	148	871
146	149	866
147	150	863
148	150	859
149	150	854
150	151	850
151	151	846
152	152	843
153	152	839
154	153	835
155	153	831
156	154	827
157	154	823
158	155	820
159	155	816
160	155	812
161	156	808
162	156	805
163	157	801
164	158	800
165	158	798
166	159	795
